,Equipe,Adversaire,Buts,Buts_mi_temps,Nb_tirs,Nb_tirs_cadres,Nb_fautes,Corners,Carton_jaune,Carton_rouge,Date,Saison,Resultat_match,D_E,Nb_points
0,Paris SG,Lille,1,0,7,2,17,2,2,1,2015-08-07,2015,Victoire,E,3
1,Rennes,Bastia,1,1,6,3,19,2,1,0,2015-08-08,2015,Defaite,E,0
2,Caen,Marseille,1,1,8,4,10,2,0,0,2015-08-08,2015,Victoire,E,3
3,Angers,Montpellier,2,1,16,6,15,9,2,0,2015-08-08,2015,Victoire,E,3
4,Guingamp,Nantes,0,0,10,4,16,2,2,0,2015-08-08,2015,Defaite,E,0
5,Monaco,Nice,2,0,19,6,18,10,2,0,2015-08-08,2015,Victoire,E,3
6,Ajaccio GFCO,Troyes,0,0,6,1,8,3,4,0,2015-08-08,2015,Nul,E,1
7,Reims,Bordeaux,2,0,14,6,12,3,2,0,2015-08-09,2015,Victoire,E,3
8,Lorient,Lyon,0,0,10,5,12,2,2,0,2015-08-09,2015,Nul,E,1
9,St Etienne,Toulouse,1,1,11,2,10,4,1,0,2015-08-09,2015,Defaite,E,0
10,Lille,Monaco,0,0,9,2,19,6,5,0,2015-08-14,2015,Nul,E,1
11,Nantes,Angers,0,0,2,1,17,2,4,0,2015-08-15,2015,Nul,E,1
12,Toulouse,Caen,0,0,13,4,14,3,3,1,2015-08-15,2015,Defaite,E,0
13,Lyon,Guingamp,1,0,11,3,18,2,2,0,2015-08-15,2015,Victoire,E,3
14,Montpellier,Rennes,0,0,4,0,9,4,1,0,2015-08-15,2015,Defaite,E,0
15,Bordeaux,St Etienne,1,0,17,3,11,8,1,0,2015-08-15,2015,Nul,E,1
16,Nice,Troyes,3,3,18,6,13,3,3,0,2015-08-15,2015,Nul,E,1
17,Bastia,Lorient,1,1,7,2,15,2,2,0,2015-08-16,2015,Nul,E,1
18,Ajaccio GFCO,Paris SG,0,0,8,2,14,1,3,0,2015-08-16,2015,Defaite,E,0
19,Marseille,Reims,0,0,13,4,14,7,2,1,2015-08-16,2015,Defaite,E,0
20,Paris SG,Montpellier,1,0,9,5,8,1,1,0,2015-08-21,2015,Victoire,E,3
21,Angers,Ajaccio GFCO,2,2,9,5,10,3,2,0,2015-08-22,2015,Victoire,E,3
22,Guingamp,Bastia,0,0,15,4,13,5,3,0,2015-08-22,2015,Defaite,E,0
23,Rennes,Lyon,2,1,6,3,13,1,3,0,2015-08-22,2015,Victoire,E,3
24,Reims,Nantes,0,0,2,1,10,2,3,0,2015-08-22,2015,Defaite,E,0
25,Caen,Nice,1,0,12,6,16,3,3,0,2015-08-22,2015,Defaite,E,0
26,Monaco,Toulouse,1,0,14,3,20,5,4,0,2015-08-22,2015,Nul,E,1
27,Bordeaux,Lille,0,0,12,4,23,10,5,0,2015-08-23,2015,Nul,E,1
28,St Etienne,Lorient,1,0,12,5,24,4,3,0,2015-08-23,2015,Victoire,E,3
29,Troyes,Marseille,0,0,6,1,9,5,1,0,2015-08-23,2015,Defaite,E,0
30,Marseille,Guingamp,0,0,14,6,13,8,5,0,2015-08-28,2015,Defaite,E,0
31,Nice,Angers,1,0,11,5,8,6,2,0,2015-08-29,2015,Nul,E,1
32,Lyon,Caen,4,2,13,5,17,3,0,0,2015-08-29,2015,Victoire,E,3
33,Ajaccio GFCO,Lille,0,0,12,6,17,4,3,0,2015-08-29,2015,Defaite,E,0
34,Lorient,Reims,1,0,13,4,8,5,1,0,2015-08-29,2015,Defaite,E,0
35,Toulouse,Rennes,1,1,8,3,9,3,3,0,2015-08-29,2015,Defaite,E,0
36,Montpellier,Troyes,0,0,13,4,10,5,1,0,2015-08-29,2015,Nul,E,1
37,Nantes,Bordeaux,0,0,11,1,17,5,3,1,2015-08-30,2015,Defaite,E,0
38,Paris SG,Monaco,3,0,19,8,12,2,1,0,2015-08-30,2015,Victoire,E,3
39,Bastia,St Etienne,1,1,6,1,6,0,1,2,2015-08-30,2015,Defaite,E,0
40,Bordeaux,Paris SG,2,1,10,3,14,6,2,1,2015-09-11,2015,Nul,E,1
41,Angers,Lorient,1,1,7,1,18,2,1,0,2015-09-12,2015,Defaite,E,0
42,Lille,Lyon,0,0,9,3,20,1,4,0,2015-09-12,2015,Nul,E,1
43,St Etienne,Montpellier,2,1,12,3,20,5,2,0,2015-09-12,2015,Victoire,E,3
44,Guingamp,Nice,1,0,8,3,23,1,3,0,2015-09-12,2015,Victoire,E,3
45,Reims,Toulouse,2,0,9,4,15,4,2,0,2015-09-12,2015,Nul,E,1
46,Caen,Troyes,3,2,15,8,9,5,0,1,2015-09-12,2015,Victoire,E,3
47,Monaco,Ajaccio GFCO,1,1,13,8,15,4,3,0,2015-09-13,2015,Victoire,E,3
48,Bastia,Marseille,1,0,6,2,9,0,1,0,2015-09-13,2015,Defaite,E,0
49,Rennes,Nantes,2,0,16,6,11,6,3,0,2015-09-13,2015,Victoire,E,3
50,Lille,Rennes,1,0,15,5,18,2,4,1,2015-09-18,2015,Nul,E,1
51,Troyes,Angers,0,0,14,0,15,5,3,0,2015-09-19,2015,Defaite,E,0
52,Nice,Bastia,3,2,9,6,14,3,2,0,2015-09-19,2015,Victoire,E,3
53,Montpellier,Caen,1,1,3,2,24,5,4,0,2015-09-19,2015,Defaite,E,0
54,Ajaccio GFCO,Guingamp,1,1,7,3,16,1,4,1,2015-09-19,2015,Defaite,E,0
55,Paris SG,Reims,1,0,17,6,9,9,2,0,2015-09-19,2015,Nul,E,1
56,Toulouse,Bordeaux,1,1,9,5,11,3,2,1,2015-09-20,2015,Nul,E,1
57,Lyon,Marseille,1,1,12,5,12,5,1,0,2015-09-20,2015,Nul,E,1
58,Lorient,Monaco,3,2,16,7,15,3,4,0,2015-09-20,2015,Victoire,E,3
59,Nantes,St Etienne,0,0,11,2,9,9,1,0,2015-09-20,2015,Defaite,E,0
60,Reims,Angers,0,0,3,1,19,3,3,0,2015-09-22,2015,Nul,E,1
61,Guingamp,Paris SG,0,0,10,4,10,4,1,0,2015-09-22,2015,Defaite,E,0
62,Rennes,Ajaccio GFCO,1,0,16,8,14,3,1,0,2015-09-23,2015,Nul,E,1
63,Caen,Lorient,0,0,14,2,10,11,2,0,2015-09-23,2015,Defaite,E,0
64,Bastia,Lyon,0,0,4,2,7,2,1,1,2015-09-23,2015,Defaite,E,0
65,Bordeaux,Nice,1,1,6,3,8,4,1,1,2015-09-23,2015,Defaite,E,0
66,Marseille,Toulouse,1,0,8,1,14,5,0,1,2015-09-23,2015,Nul,E,1
67,St Etienne,Troyes,1,1,13,6,14,6,0,0,2015-09-23,2015,Victoire,E,3
68,Monaco,Montpellier,3,0,13,5,18,7,1,0,2015-09-24,2015,Victoire,E,3
69,Lille,Reims,0,0,10,3,23,6,3,0,2015-09-25,2015,Defaite,E,0
70,Toulouse,Bastia,0,0,16,5,10,18,3,0,2015-09-26,2015,Defaite,E,0
71,Lyon,Bordeaux,1,0,10,4,9,5,0,0,2015-09-26,2015,Defaite,E,0
72,Ajaccio GFCO,Caen,0,0,8,2,15,7,4,0,2015-09-26,2015,Defaite,E,0
73,Paris SG,Nantes,4,0,14,7,9,7,1,0,2015-09-26,2015,Victoire,E,3
74,Troyes,Rennes,1,1,12,6,9,3,3,0,2015-09-26,2015,Nul,E,1
75,Monaco,Guingamp,3,2,9,4,16,1,3,0,2015-09-27,2015,Nul,E,1
76,Angers,Marseille,2,1,6,3,13,4,3,0,2015-09-27,2015,Victoire,E,3
77,Lorient,Montpellier,1,0,10,3,21,3,5,1,2015-09-27,2015,Defaite,E,0
78,Nice,St Etienne,4,3,8,6,7,2,1,2,2015-09-27,2015,Victoire,E,3
79,Nantes,Lille,1,1,9,2,21,2,3,0,2015-09-29,2015,Victoire,E,3
80,Montpellier,Lille,0,0,9,3,15,2,1,0,2015-10-02,2015,Defaite,E,0
81,Toulouse,Ajaccio GFCO,2,1,12,5,11,7,0,0,2015-10-03,2015,Nul,E,1
82,Bastia,Angers,0,0,8,2,16,5,2,0,2015-10-03,2015,Defaite,E,0
83,Reims,Lyon,0,0,8,3,9,1,2,0,2015-10-03,2015,Defaite,E,0
84,Guingamp,Troyes,1,0,18,7,16,4,2,0,2015-10-03,2015,Victoire,E,3
85,St Etienne,Caen,0,0,10,3,13,7,3,0,2015-10-04,2015,Defaite,E,0
86,Bordeaux,Lorient,2,1,9,5,17,5,2,1,2015-10-04,2015,Defaite,E,0
87,Rennes,Monaco,1,1,8,3,16,3,2,0,2015-10-04,2015,Nul,E,1
88,Marseille,Paris SG,1,1,13,8,12,6,3,0,2015-10-04,2015,Defaite,E,0
89,Lyon,Monaco,1,0,18,6,16,4,2,0,2015-10-16,2015,Nul,E,1
90,Paris SG,Bastia,2,0,13,5,15,3,1,0,2015-10-17,2015,Victoire,E,3
91,Lille,Guingamp,1,1,10,2,25,3,3,1,2015-10-17,2015,Nul,E,1
92,Troyes,Nantes,0,0,14,2,8,4,1,0,2015-10-17,2015,Defaite,E,0
93,Caen,Reims,1,0,11,4,16,6,3,0,2015-10-17,2015,Victoire,E,3
94,Ajaccio GFCO,St Etienne,0,0,4,0,13,3,0,0,2015-10-17,2015,Defaite,E,0
95,Angers,Toulouse,2,2,7,5,17,1,1,0,2015-10-17,2015,Victoire,E,3
96,Montpellier,Bordeaux,0,0,6,0,10,2,2,0,2015-10-18,2015,Nul,E,1
97,Lorient,Marseille,1,1,6,2,14,4,3,0,2015-10-18,2015,Nul,E,1
98,Nice,Rennes,4,1,12,7,7,3,2,0,2015-10-18,2015,Victoire,E,3
99,Nantes,Caen,2,1,10,3,19,6,2,0,2015-10-23,2015,Victoire,E,3
100,Toulouse,Lyon,0,0,7,3,18,5,4,0,2015-10-23,2015,Defaite,E,0
101,Nice,Ajaccio GFCO,1,1,9,2,11,3,3,0,2015-10-24,2015,Defaite,E,0
102,Guingamp,Angers,0,0,11,2,12,7,2,0,2015-10-24,2015,Nul,E,1
103,Rennes,Lorient,1,0,11,3,15,8,0,1,2015-10-24,2015,Nul,E,1
104,Bastia,Montpellier,0,0,13,1,12,4,3,0,2015-10-24,2015,Defaite,E,0
105,Troyes,Bordeaux,0,0,11,2,16,4,4,0,2015-10-25,2015,Defaite,E,0
106,Marseille,Lille,2,1,12,6,24,5,4,0,2015-10-25,2015,Victoire,E,3
107,St Etienne,Paris SG,1,0,14,6,15,0,0,0,2015-10-25,2015,Defaite,E,0
108,Monaco,Reims,1,1,16,4,12,5,2,0,2015-10-25,2015,Victoire,E,3
109,Paris SG,Rennes,1,0,13,5,11,3,0,0,2015-10-30,2015,Victoire,E,3
110,Bordeaux,Ajaccio GFCO,0,0,7,0,10,5,4,0,2015-10-31,2015,Defaite,E,0
111,Caen,Bastia,0,0,5,3,17,2,2,0,2015-10-31,2015,Defaite,E,0
112,Lorient,Guingamp,2,0,12,4,19,3,1,1,2015-10-31,2015,Nul,E,1
113,Reims,St Etienne,0,0,8,5,10,12,1,0,2015-10-31,2015,Defaite,E,0
114,Montpellier,Toulouse,1,1,7,1,15,7,2,0,2015-10-31,2015,Nul,E,1
115,Lyon,Troyes,1,0,31,6,14,10,0,0,2015-10-31,2015,Victoire,E,3
116,Angers,Monaco,0,0,15,5,21,4,4,0,2015-11-01,2015,Defaite,E,0
117,Marseille,Nantes,1,0,12,3,18,2,1,0,2015-11-01,2015,Victoire,E,3
118,Lille,Nice,0,0,9,1,26,5,3,0,2015-11-01,2015,Nul,E,1
119,Nantes,Nice,2,1,12,6,16,6,3,0,2015-11-04,2015,Victoire,E,3
120,Rennes,Angers,2,1,10,2,15,2,2,0,2015-11-06,2015,Victoire,E,3
121,Guingamp,Caen,1,0,13,6,14,6,1,0,2015-11-07,2015,Defaite,E,0
122,Bastia,Lille,1,0,9,2,12,5,3,0,2015-11-07,2015,Nul,E,1
123,Troyes,Lorient,1,0,13,6,11,5,0,0,2015-11-07,2015,Defaite,E,0
124,Nantes,Montpellier,1,0,10,2,14,6,4,0,2015-11-07,2015,Defaite,E,0
125,Toulouse,Paris SG,0,0,7,0,13,0,1,0,2015-11-07,2015,Defaite,E,0
126,Ajaccio GFCO,Reims,2,1,11,4,12,1,2,0,2015-11-07,2015,Victoire,E,3
127,Monaco,Bordeaux,1,1,13,6,14,10,2,0,2015-11-08,2015,Defaite,E,0
128,St Etienne,Lyon,0,0,6,1,20,3,4,0,2015-11-08,2015,Defaite,E,0
129,Nice,Marseille,1,1,9,4,11,5,2,0,2015-11-08,2015,Victoire,E,3
130,Lyon,Nice,0,0,13,1,3,2,2,0,2015-11-20,2015,Defaite,E,0
131,Toulouse,Guingamp,0,0,13,3,24,7,3,1,2015-11-21,2015,Defaite,E,0
132,Paris SG,Lorient,2,2,8,3,14,2,1,0,2015-11-21,2015,Victoire,E,3
133,Nantes,Monaco,0,0,12,2,16,3,1,0,2015-11-21,2015,Defaite,E,0
134,Reims,Montpellier,1,1,11,4,18,4,2,0,2015-11-21,2015,Defaite,E,0
135,Lille,Troyes,1,1,16,6,20,12,1,0,2015-11-21,2015,Nul,E,1
136,Ajaccio GFCO,Bastia,2,1,15,4,14,4,1,0,2015-11-22,2015,Victoire,E,3
137,Angers,Caen,0,0,11,4,13,8,1,0,2015-11-22,2015,Nul,E,1
138,Bordeaux,Rennes,2,1,8,5,10,2,2,1,2015-11-22,2015,Nul,E,1
139,Marseille,St Etienne,2,1,14,6,9,7,1,0,2015-11-22,2015,Victoire,E,3
140,Montpellier,Lyon,4,2,15,9,17,2,4,0,2015-11-27,2015,Victoire,E,3
141,Lorient,Ajaccio GFCO,1,1,5,2,8,3,1,0,2015-11-28,2015,Nul,E,1
142,Lille,Angers,0,0,8,0,13,4,3,1,2015-11-28,2015,Defaite,E,0
143,Bastia,Nantes,0,0,6,1,11,1,2,0,2015-11-28,2015,Nul,E,1
144,Troyes,Paris SG,1,0,11,3,8,2,1,0,2015-11-28,2015,Defaite,E,0
145,Rennes,Reims,2,1,11,6,17,2,4,0,2015-11-28,2015,Nul,E,1
146,Nice,Toulouse,0,0,8,3,9,3,2,1,2015-11-28,2015,Defaite,E,0
147,Caen,Bordeaux,4,1,13,10,15,6,2,0,2015-11-29,2015,Victoire,E,3
148,Monaco,Marseille,3,2,10,5,23,4,3,0,2015-11-29,2015,Nul,E,1
149,Guingamp,St Etienne,0,0,14,4,18,3,3,0,2015-11-29,2015,Defaite,E,0
150,Paris SG,Angers,0,0,12,3,8,12,1,0,2015-12-01,2015,Nul,E,1
151,Nice,Lorient,0,0,12,7,16,2,5,0,2015-12-01,2015,Nul,E,1
152,Lyon,Nantes,0,0,10,5,10,1,2,0,2015-12-01,2015,Nul,E,1
153,Bordeaux,Bastia,0,0,6,2,13,6,1,0,2015-12-02,2015,Defaite,E,0
154,Reims,Guingamp,2,1,6,4,26,0,4,1,2015-12-02,2015,Victoire,E,3
155,St Etienne,Lille,0,0,9,0,26,4,2,0,2015-12-02,2015,Defaite,E,0
156,Caen,Monaco,1,0,8,3,14,4,2,0,2015-12-02,2015,Nul,E,1
157,Ajaccio GFCO,Montpellier,2,1,6,3,13,0,4,0,2015-12-02,2015,Victoire,E,3
158,Toulouse,Troyes,3,1,11,8,15,6,1,1,2015-12-02,2015,Victoire,E,3
159,Marseille,Rennes,1,1,11,5,11,3,2,0,2015-12-03,2015,Victoire,E,3
160,Paris SG,Nice,3,2,15,6,12,2,2,0,2015-12-04,2015,Victoire,E,3
161,Nantes,Ajaccio GFCO,1,0,12,3,19,2,2,0,2015-12-05,2015,Nul,E,1
162,Monaco,Bastia,2,0,7,2,13,3,1,0,2015-12-05,2015,Victoire,E,3
163,Lille,Caen,2,1,12,5,14,2,3,0,2015-12-05,2015,Victoire,E,3
164,Angers,Lyon,2,1,9,6,7,1,1,0,2015-12-05,2015,Victoire,E,3
165,Troyes,Reims,1,0,14,4,12,2,1,0,2015-12-05,2015,Nul,E,1
166,Lorient,Toulouse,3,0,5,4,17,2,2,0,2015-12-05,2015,Victoire,E,3
167,Guingamp,Bordeaux,0,0,8,2,17,2,2,0,2015-12-06,2015,Defaite,E,0
168,Montpellier,Marseille,2,1,6,2,12,3,1,0,2015-12-06,2015,Nul,E,1
169,Rennes,St Etienne,1,1,5,3,10,3,3,0,2015-12-06,2015,Nul,E,1
170,Caen,Rennes,1,0,12,3,9,7,0,1,2015-12-11,2015,Nul,E,1
171,Lorient,Lille,0,0,11,3,10,6,2,0,2015-12-12,2015,Defaite,E,0
172,Guingamp,Montpellier,1,1,9,4,20,5,2,1,2015-12-12,2015,Defaite,E,0
173,Toulouse,Nantes,1,0,5,3,15,1,4,1,2015-12-12,2015,Nul,E,1
174,Nice,Reims,1,1,7,3,13,2,2,0,2015-12-12,2015,Nul,E,1
175,Bastia,Troyes,1,1,11,3,21,5,4,0,2015-12-12,2015,Nul,E,1
176,Bordeaux,Angers,1,1,3,2,9,4,2,0,2015-12-13,2015,Nul,E,1
177,Ajaccio GFCO,Marseille,1,1,9,2,24,3,4,0,2015-12-13,2015,Nul,E,1
178,St Etienne,Monaco,0,0,5,0,17,5,2,1,2015-12-13,2015,Defaite,E,0
179,Lyon,Paris SG,1,1,9,3,9,1,1,0,2015-12-13,2015,Defaite,E,0
180,Montpellier,Nice,0,0,10,6,15,8,2,0,2015-12-18,2015,Defaite,E,0
181,Reims,Bastia,0,0,11,2,7,5,1,0,2015-12-19,2015,Defaite,E,0
182,Paris SG,Caen,3,2,18,10,11,7,2,0,2015-12-19,2015,Victoire,E,3
183,Rennes,Guingamp,2,0,9,5,11,3,2,0,2015-12-19,2015,Victoire,E,3
184,Nantes,Lorient,0,0,13,6,17,7,3,0,2015-12-19,2015,Nul,E,1
185,Lille,Toulouse,1,0,24,6,11,8,1,0,2015-12-19,2015,Nul,E,1
186,Monaco,Troyes,0,0,16,5,17,15,3,0,2015-12-19,2015,Nul,E,1
187,Lyon,Ajaccio GFCO,1,0,9,2,12,2,1,0,2015-12-20,2015,Defaite,E,0
188,Marseille,Bordeaux,1,0,7,4,14,6,3,0,2015-12-20,2015,Nul,E,1
189,Angers,St Etienne,0,0,11,2,16,5,3,0,2015-12-20,2015,Defaite,E,0
190,Bastia,Paris SG,0,0,5,0,18,0,3,0,2016-01-08,2015,Defaite,E,0
191,Caen,Angers,0,0,15,3,8,8,2,0,2016-01-09,2015,Defaite,E,0
192,Troyes,Lyon,1,0,9,3,20,1,1,0,2016-01-09,2015,Defaite,E,0
193,Ajaccio GFCO,Monaco,2,2,10,2,21,1,3,0,2016-01-09,2015,Nul,E,1
194,Bordeaux,Montpellier,1,1,13,3,11,5,1,0,2016-01-09,2015,Victoire,E,3
195,Toulouse,Reims,3,0,8,3,15,1,4,0,2016-01-09,2015,Victoire,E,3
196,Lorient,Rennes,2,2,6,2,11,3,1,0,2016-01-09,2015,Nul,E,1
197,Nice,Lille,1,1,9,3,21,6,3,0,2016-01-10,2015,Nul,E,1
198,Guingamp,Marseille,0,0,7,1,15,0,1,0,2016-01-10,2015,Nul,E,1
199,St Etienne,Nantes,1,1,10,2,14,6,3,0,2016-01-10,2015,Defaite,E,0
200,Angers,Nice,1,1,9,4,17,3,3,0,2016-01-15,2015,Defaite,E,0
201,Reims,Ajaccio GFCO,2,2,10,6,8,2,0,0,2016-01-16,2015,Nul,E,1
202,Montpellier,Bastia,0,0,7,1,11,5,1,1,2016-01-16,2015,Defaite,E,0
203,Lille,Bordeaux,0,0,10,7,17,1,1,0,2016-01-16,2015,Defaite,E,0
204,Nantes,Guingamp,2,0,8,1,14,7,1,0,2016-01-16,2015,Nul,E,1
205,Paris SG,Toulouse,1,0,12,4,9,7,0,0,2016-01-16,2015,Victoire,E,3
206,Rennes,Troyes,4,3,19,13,7,7,1,0,2016-01-16,2015,Victoire,E,3
207,Marseille,Caen,3,1,15,9,12,4,1,0,2016-01-17,2015,Victoire,E,3
208,Monaco,Lorient,2,0,6,4,12,5,1,0,2016-01-17,2015,Victoire,E,3
209,Lyon,St Etienne,0,0,18,5,13,8,1,0,2016-01-17,2015,Defaite,E,0
210,Ajaccio GFCO,Rennes,0,0,8,2,15,2,3,0,2016-01-22,2015,Defaite,E,0
211,Bastia,Guingamp,0,0,4,1,17,0,1,2,2016-01-23,2015,Defaite,E,0
212,Troyes,Lille,3,0,7,4,5,3,1,0,2016-01-23,2015,Victoire,E,3
213,Caen,Montpellier,2,1,10,4,12,4,1,0,2016-01-23,2015,Victoire,E,3
214,Bordeaux,Nantes,2,0,8,5,12,3,4,0,2016-01-23,2015,Nul,E,1
215,Lorient,Nice,1,1,12,4,15,3,2,0,2016-01-23,2015,Defaite,E,0
216,Angers,Paris SG,1,0,11,4,11,1,1,0,2016-01-23,2015,Defaite,E,0
217,Marseille,Lyon,1,0,7,4,20,2,2,0,2016-01-24,2015,Nul,E,1
218,Toulouse,Monaco,0,0,9,3,16,3,1,0,2016-01-24,2015,Defaite,E,0
219,St Etienne,Reims,1,0,5,1,18,1,2,0,2016-01-24,2015,Nul,E,1
220,Lille,Marseille,1,0,12,4,21,1,1,0,2016-01-29,2015,Nul,E,1
221,Montpellier,Ajaccio GFCO,4,2,8,4,10,4,3,0,2016-01-30,2015,Victoire,E,3
222,Monaco,Angers,0,0,9,4,10,5,3,0,2016-01-30,2015,Defaite,E,0
223,Lyon,Bastia,0,0,9,2,18,6,2,0,2016-01-30,2015,Defaite,E,0
224,Reims,Lorient,0,0,12,3,14,6,2,0,2016-01-30,2015,Defaite,E,0
225,Guingamp,Toulouse,2,1,7,3,18,5,4,0,2016-01-30,2015,Victoire,E,3
226,Nantes,Troyes,1,1,10,3,16,4,3,0,2016-01-30,2015,Victoire,E,3
227,Rennes,Bordeaux,0,0,8,3,11,5,1,0,2016-01-31,2015,Defaite,E,0
228,Nice,Caen,0,0,15,6,14,15,2,0,2016-01-31,2015,Defaite,E,0
229,Paris SG,St Etienne,2,0,12,5,11,6,2,0,2016-01-31,2015,Victoire,E,3
230,Bastia,Monaco,0,0,11,3,10,1,1,0,2016-02-02,2015,Defaite,E,0
231,Marseille,Montpellier,1,0,4,1,13,5,3,1,2016-02-02,2015,Victoire,E,3
232,Troyes,Guingamp,0,0,15,4,12,8,3,0,2016-02-03,2015,Defaite,E,0
233,Caen,Lille,0,0,10,2,15,4,1,1,2016-02-03,2015,Defaite,E,0
234,Bordeaux,Lyon,0,0,12,4,12,8,4,0,2016-02-03,2015,Defaite,E,0
235,Ajaccio GFCO,Nantes,1,1,4,2,18,1,1,1,2016-02-03,2015,Defaite,E,0
236,Toulouse,Nice,0,0,7,1,9,4,1,0,2016-02-03,2015,Defaite,E,0
237,Lorient,Paris SG,1,1,11,4,11,8,1,0,2016-02-03,2015,Defaite,E,0
238,Angers,Reims,1,1,11,5,15,5,3,1,2016-02-03,2015,Defaite,E,0
239,St Etienne,Rennes,1,0,13,4,16,8,2,0,2016-02-04,2015,Victoire,E,3
240,Guingamp,Ajaccio GFCO,0,0,3,0,8,2,0,1,2016-02-06,2015,Nul,E,1
241,Lyon,Angers,3,1,8,3,16,6,2,0,2016-02-06,2015,Victoire,E,3
242,Troyes,Bastia,0,0,11,1,12,6,2,2,2016-02-06,2015,Defaite,E,0
243,Reims,Caen,2,1,12,5,13,2,2,0,2016-02-06,2015,Victoire,E,3
244,Montpellier,Lorient,1,1,11,5,8,1,1,0,2016-02-06,2015,Nul,E,1
245,Nice,Monaco,0,0,12,3,14,7,6,0,2016-02-06,2015,Defaite,E,0
246,Nantes,Toulouse,0,0,15,7,21,7,4,0,2016-02-06,2015,Nul,E,1
247,St Etienne,Bordeaux,4,2,14,8,19,4,1,0,2016-02-07,2015,Victoire,E,3
248,Rennes,Lille,1,0,10,3,12,4,4,0,2016-02-07,2015,Nul,E,1
249,Paris SG,Marseille,2,1,11,3,10,2,1,0,2016-02-07,2015,Victoire,E,3
250,Angers,Rennes,0,0,9,0,18,3,1,0,2016-02-12,2015,Defaite,E,0
251,Troyes,Ajaccio GFCO,3,3,6,3,10,1,3,0,2016-02-13,2015,Victoire,E,3
252,Bordeaux,Guingamp,4,2,13,7,9,4,0,0,2016-02-13,2015,Victoire,E,3
253,Toulouse,Montpellier,0,0,9,3,13,4,2,0,2016-02-13,2015,Defaite,E,0
254,Lorient,Nantes,1,0,4,1,14,5,3,1,2016-02-13,2015,Defaite,E,0
255,Lille,Paris SG,0,0,5,0,10,2,3,0,2016-02-13,2015,Nul,E,1
256,Bastia,Reims,1,0,13,3,17,5,3,0,2016-02-13,2015,Victoire,E,3
257,Caen,Lyon,1,0,15,6,12,7,5,0,2016-02-14,2015,Defaite,E,0
258,Marseille,Nice,1,1,11,6,14,6,2,0,2016-02-14,2015,Nul,E,1
259,Monaco,St Etienne,1,0,8,2,11,6,1,0,2016-02-14,2015,Nul,E,1
260,Nice,Bordeaux,0,0,10,2,8,5,2,0,2016-02-19,2015,Nul,E,1
261,Montpellier,Angers,3,3,12,5,17,6,1,0,2016-02-20,2015,Victoire,E,3
262,Guingamp,Lorient,3,2,14,7,6,5,1,0,2016-02-20,2015,Defaite,E,0
263,Troyes,Monaco,1,0,14,7,12,7,0,0,2016-02-20,2015,Defaite,E,0
264,Reims,Paris SG,1,1,10,3,11,5,0,0,2016-02-20,2015,Defaite,E,0
265,Ajaccio GFCO,Toulouse,1,0,9,2,18,3,2,1,2016-02-20,2015,Nul,E,1
266,Rennes,Caen,0,0,7,1,15,2,1,0,2016-02-21,2015,Defaite,E,0
267,Lyon,Lille,0,0,11,3,20,7,3,2,2016-02-21,2015,Defaite,E,0
268,St Etienne,Marseille,1,0,15,1,21,6,1,0,2016-02-21,2015,Nul,E,1
269,Bastia,Nice,2,0,10,4,19,1,5,0,2016-02-26,2015,Victoire,E,3
270,Angers,Guingamp,2,1,8,2,16,0,3,1,2016-02-27,2015,Nul,E,1
271,Lille,Montpellier,0,0,6,2,19,3,3,0,2016-02-27,2015,Defaite,E,0
272,Bordeaux,Reims,1,0,6,1,16,1,2,0,2016-02-27,2015,Defaite,E,0
273,Rennes,Toulouse,2,0,18,5,9,5,0,0,2016-02-27,2015,Victoire,E,3
274,Lorient,Troyes,1,1,19,7,9,7,1,0,2016-02-27,2015,Victoire,E,3
275,Paris SG,Lyon,1,0,6,3,14,2,5,0,2016-02-28,2015,Defaite,E,0
276,Monaco,Nantes,0,0,4,1,15,3,1,0,2016-02-28,2015,Nul,E,1
277,Caen,St Etienne,2,0,16,6,11,3,1,0,2016-02-28,2015,Victoire,E,3
278,Monaco,Caen,2,0,9,3,13,2,4,0,2016-03-04,2015,Nul,E,1
279,St Etienne,Angers,0,0,7,1,15,5,3,0,2016-03-05,2015,Nul,E,1
280,Lorient,Bastia,0,0,2,1,12,2,4,0,2016-03-05,2015,Nul,E,1
281,Ajaccio GFCO,Bordeaux,1,0,4,2,13,2,2,0,2016-03-05,2015,Nul,E,1
282,Reims,Lille,0,0,9,5,22,6,2,1,2016-03-05,2015,Defaite,E,0
283,Troyes,Nice,1,1,10,4,11,4,1,0,2016-03-05,2015,Defaite,E,0
284,Montpellier,Paris SG,0,0,6,0,8,4,1,0,2016-03-05,2015,Nul,E,1
285,Guingamp,Lyon,1,1,11,5,10,3,3,0,2016-03-06,2015,Defaite,E,0
286,Toulouse,Marseille,1,0,18,7,13,3,1,0,2016-03-06,2015,Nul,E,1
287,Nantes,Rennes,1,0,11,6,16,3,2,0,2016-03-06,2015,Defaite,E,0
288,Marseille,Ajaccio GFCO,1,0,6,5,17,3,2,0,2016-03-09,2015,Nul,E,1
289,Nantes,Bastia,0,0,8,2,18,1,4,0,2016-03-09,2015,Nul,E,1
290,Reims,Monaco,2,1,9,4,11,7,2,0,2016-03-11,2015,Nul,E,1
291,Caen,Ajaccio GFCO,0,0,9,4,6,4,0,0,2016-03-12,2015,Defaite,E,0
